"year","sim","spp1","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp2","spp20","spp3","spp4","spp5","spp6","spp7","spp8","spp9"
50,1,1038.50644807897,725.149561126442,1190.79378808708,895.466131842296,819.485140142713,765.475272468878,999.337239308492,1184.03653493708,1279.83350653715,978.551576444094,938.444903462884,657.782415846563,1205.78098938897,1111.00227720812,644.181323329424,923.451599845641,741.724559928308,1115.93304695638,698.750030691215,845.901565910859
51,1,1184.29258777161,996.345713025033,1037.08327289431,803.385726856499,853.101234845052,673.985847657822,901.374994395457,1338.9722612832,1265.3830287185,893.191355855054,1291.74047949189,771.393946534477,1123.82743831456,983.371315455099,862.2740728967,848.451340724765,1011.17729422768,853.837266197483,970.737340233611,787.111221612328
52,1,984.869921789541,1656.13534762497,947.537118303047,591.961181019248,1140.22222098481,874.161281572577,859.539689348373,1422.2336803006,936.171721052091,865.05137196727,1256.98245229231,833.338307908248,959.170074194972,820.120404841436,1066.75574175205,1185.69358966973,1178.39597361245,1160.625942038,871.936569839595,686.03126084555
53,1,900.92097710817,1569.13191175697,1017.32763539195,994.431998025432,1091.27524167123,706.585287206017,1195.38071806288,1230.9398469612,1164.79684711706,1006.62839470744,1168.46287689672,1101.24223468051,1399.06697948607,899.365892491046,913.644532099362,883.587905712213,833.328162786502,1294.55162214093,815.231857180752,1120.65802967872
54,1,1127.33798757641,1310.4294462263,888.187749790791,971.856635435714,891.434286636326,932.977438125287,1013.46387538966,888.52728107444,969.866854085987,778.206798207534,972.603757816395,943.191102661691,918.805029391792,905.902687169696,911.945018068003,884.412678414776,727.320520161104,1133.62218113609,1245.47247638117,1256.24302241887
55,1,892.453838318825,1201.64613415521,911.487043505073,1108.16305319832,678.22924839664,1066.29641831888,763.130763048212,918.561708855571,959.408630589698,736.844766971634,727.379322947478,751.807143341096,965.46377043609,915.031303926699,843.349434441257,1078.33132993839,1047.06825163057,1083.48114324703,1309.31040809901,994.768057371228
56,1,1062.98840982662,1127.30239819021,833.60820695501,1476.73963416768,837.105610813185,671.586162386939,1008.25253897801,1071.14478357485,1357.16616365311,883.597804492116,850.418251305789,763.204840764145,786.567809447077,957.897432260435,1074.65740364838,1167.50367145718,749.673888464292,1293.38408458175,1080.19192424757,825.130355440567
57,1,731.821262478366,1106.14995058585,1130.56827154492,1208.72827508129,847.603682479729,923.484755164141,1126.50018833462,1024.2274482572,1080.08269319305,784.971550395054,1199.79892771138,915.021543312449,648.675802950209,922.923260502399,1193.42361841582,779.959411599926,506.284911441124,1410.43126337569,711.770954442904,1014.47979414733
58,1,858.1394066372,923.246151892735,1283.52123083863,1396.9182504944,1139.61104242866,973.12431160295,1475.3838369431,1108.71169125669,1073.17948287513,907.885855773167,1090.62883568465,1101.86085668247,656.493357511014,1014.3369758143,1095.87993138626,705.496308956743,808.810865501808,1083.68123801822,1198.62380285866,917.008506031565
59,1,927.295105463542,1048.82790977221,1019.40629120187,1009.21204281267,894.334953312733,947.446283255397,881.644003121265,824.905765518368,880.523731815258,924.049026345878,1214.50241152266,1177.79097282013,672.198743305687,1396.67815255751,1024.78045850958,642.557876565474,642.875607781628,1026.87945704491,1635.79740670319,1177.44932890385
60,1,1021.73324343662,966.140636799867,758.544708249804,1123.8985344682,1229.07961707905,1227.64508250489,827.360176129443,1095.46349959479,890.681768119352,805.51020396598,933.987029282627,1121.91477176826,954.957966253711,1084.99385667742,1219.46273696,913.903675934655,784.764293452327,1056.41925373748,919.792613296319,869.50376611788
61,1,768.865917255828,982.563799225857,754.793906970091,1235.96545058902,1081.23840721742,1291.33399056049,1141.48191700153,971.298081373782,842.227815436827,1094.29681653793,1084.3784588392,957.609569071797,847.340645007433,814.103769162376,1130.15803158904,1146.83139598139,945.022517050082,1067.49875579375,1226.38907418034,1313.01350513461
62,1,709.225522026149,838.365031074591,764.019566980218,1145.52125884169,1230.69236099496,1421.7307721315,1122.61294161045,905.860003695197,1063.91283326845,1333.59159583873,860.257172691033,672.332847567094,587.316588609635,1244.39075612863,1003.54942071129,997.119836291583,1085.98407097124,977.743297832056,750.905463670101,946.106995825904
63,1,788.516361157362,848.362290493685,1163.62813347503,1185.74734960929,1202.98688236951,1209.72019050041,1554.31979560053,1080.65716807321,1035.29653478425,1032.47807675185,1100.01788010609,764.675434744872,809.707882596097,1202.92942066888,1008.67153091398,1074.20720649191,769.899318933123,680.387205547921,622.423558094755,1327.47913918015
64,1,978.093304304319,722.38383356854,922.396564908076,1023.841464228,1117.67413399705,848.691010318827,1176.18666011033,1127.92600460418,836.380285072087,756.446834562982,975.168355214049,736.994598343735,656.907269705529,1109.04925686656,1053.22843042067,865.424690690902,842.279213812069,701.449216170643,606.079023891399,944.559196644383
65,1,823.92996447214,759.319590225229,939.657750033295,1189.7755354039,1111.19639829299,944.776070477826,1406.11304389566,1137.2151080439,1115.27050667776,874.791707862987,881.650695143587,772.688857186037,564.698919858933,665.123526512143,1078.78391240478,1014.96770211682,1053.71231210828,892.954973152446,754.394901857386,832.21162458116
66,1,1048.61200922577,1080.62073675237,883.918448087447,1076.85435702979,769.828345767269,749.2211341038,1396.52679293013,1237.06986305046,1201.86964745771,1101.12760600517,934.006421422808,897.520998374075,806.769048191919,1139.31543152375,807.307198801385,700.691691341593,1002.37517979905,1216.01881351049,872.955218651809,1244.82061494637
67,1,963.425410088228,899.10500527586,842.548591674594,1033.15223097018,725.223778135831,1306.25925836388,1447.35560954652,1232.55698316806,871.502195949334,709.461485061632,920.59824608619,887.898772405872,839.191742036698,1166.78682656366,680.990636963286,686.564319303018,792.244266223247,1047.9562769828,824.739357433844,1224.58018143453
68,1,754.452406115066,1083.5115597499,1146.44552655836,1252.7940478229,911.540565752144,1062.68498594974,1321.25634356049,1318.28523540999,796.779817008317,681.187061363367,967.392467626348,1076.86587178303,1092.27905136263,1194.97295166236,806.829648712602,600.56108709887,732.889337582002,704.407157251703,893.818846766281,1063.80249885388
69,1,875.831793722817,1536.8795338916,1219.28261521439,1067.3187605087,1039.21076613114,1167.51955369402,967.403077063372,945.712665978584,697.035321009607,691.5006917267,1239.82607454194,877.828764375284,1150.33960640702,1931.56100429557,560.327776238192,629.840134362346,728.943817441769,675.610355059438,853.23575849629,944.85934947429
70,1,1097.40614158781,966.376259655836,1335.15061662996,918.980949505909,1162.1637661898,1451.10284530048,1176.96344636378,819.002952935051,820.218147648166,934.936198080816,1259.11171787792,1471.69691475573,1271.44306218464,1303.23929965137,592.481538623642,768.459929530384,694.707923609162,563.315246725143,823.395650781607,914.121393188835
71,1,1211.43327351417,1114.29483820211,828.286593244476,972.362904167206,863.454407491044,942.212291859366,910.038886503916,1077.23298559446,1019.38156849018,683.192801629724,1154.48408560925,1441.44341411492,1261.12418201974,1167.8734693963,797.084147734563,810.233770091645,1013.88988936604,780.469617692586,1439.54200282382,1130.7716276931
72,1,977.521091932426,1303.8085886212,824.247128025538,843.760043554964,1086.84034149083,1039.55727131322,1005.44351218527,791.702916993857,1138.11491645599,673.484602549846,864.909790214865,1848.87107227443,849.293494815497,820.438801184511,631.69615928746,914.482079691884,782.08906506588,681.549168791841,1191.05509913349,1085.81859453055
73,1,914.878788764351,1293.79359162916,1048.05439049751,715.530338612809,1362.45915255921,1024.69789807702,925.616727646191,1264.48491530594,897.298798990294,670.585452484629,1070.07484666088,1420.59359193835,1290.26155203603,890.745391173646,755.646261631419,979.131603646471,824.364655186793,1111.24679017295,1424.29902142437,1036.67366159544
74,1,688.659426185365,820.152674043857,1026.09283567944,845.584000034953,899.464146501053,972.178292334379,1163.61282306365,812.68212500036,1152.54927440268,766.745428626735,1479.0039293124,1400.37652532246,639.686819626043,971.455980859001,585.070533776211,663.150443298557,729.034663281021,1088.00492472869,1201.41783574174,815.357914811132
75,1,625.931649440368,957.91931874219,773.536379940613,878.369324397746,788.972180305409,853.78432168346,976.68379543623,1008.31989862564,1253.63667889669,445.642496881347,1153.16352703098,895.823247086951,1027.49974566806,1131.21354822938,892.467742009536,988.053675791605,896.387832093326,1275.36130303154,1069.5654480006,1043.12549104911
76,1,637.839687839497,861.280829195011,909.679472658075,690.348750836512,650.76885510158,822.894103567481,1171.98344939973,854.064453617993,1024.70889937013,660.453639808534,1377.09458872564,756.638178619377,1103.35035054906,1206.19846311031,1177.9334862979,741.119230883264,1272.50622758283,690.912268748919,1067.29138860725,1638.52853392073
77,1,1019.6666415795,848.276474588787,628.472284139627,868.316494388743,967.397756249439,1107.82247452112,1183.7259123803,952.506104231837,1008.72828093433,699.85627223287,1296.82868655237,922.40457217693,934.384263286966,1222.69330436124,1428.3389541365,801.945635973527,1177.82613100467,589.047508902041,859.709681551173,1340.95143349883
78,1,940.375358435559,1330.19386469318,582.585994858796,1043.15843010069,1424.47219473959,1014.12390988799,1294.07607007237,1015.92509418183,1031.7555706841,1151.64755878461,739.509456218745,971.930384720175,832.634083343467,1644.00586221885,928.789718703742,991.157069531325,1000.12954023508,945.062125438362,1126.34321014006,1308.37572025508
79,1,896.478206093706,1579.33959602147,1185.67253877896,1392.39760983875,1112.84421461138,1094.12691749483,1170.16858694913,943.849671488352,919.084929206252,1146.85406130808,821.674271850308,1059.09692967574,1086.60988123629,1385.26800369945,1116.59358761139,1016.27894728449,1134.36783647401,1013.65240859667,1226.73175131499,1232.91933225565
80,1,856.045556604552,1505.77140531022,1326.14405760912,1314.08873227439,666.008562268545,1161.39589546766,1043.82656582081,1095.39840961047,847.797400147737,1168.02399791707,781.840636435893,1264.08396343869,932.475062451171,1098.008575957,1021.96960380992,898.393892126929,1177.90786026369,814.645923974564,1195.25561924006,1062.09105120093
81,1,630.439425761265,1402.72121989787,1017.52924089689,1366.9882100053,810.713881641329,941.613780721323,1140.24075256602,769.578302672372,863.679413486252,906.185223423103,668.451429006818,905.834421155991,923.117106953359,1031.17866306948,1050.4760327725,943.630666185932,932.854358204704,853.922672052616,1062.8352254108,1250.63166516552
82,1,888.354259916862,1171.79594702941,749.819559490677,1453.87826733843,1030.02317578828,809.454997919721,1206.53939706315,1278.37852704438,776.540892153152,946.967703738983,899.290629558038,860.67297504706,865.113721970398,901.875722559076,1074.48465388007,1242.80887821946,1124.1787391594,1159.79950154178,1318.07419866485,822.122297153312
83,1,710.666545854886,915.135154104459,1155.71801260104,1075.70520324741,839.330836082096,1101.77677789935,1189.31536641692,937.686056369163,1188.79348504272,1074.65930915333,812.675989818795,950.992401978293,1038.19650856627,803.176897419728,1096.09423921857,1229.73973382898,921.718857503333,1133.08403793107,1462.04495474936,857.905019060557
84,1,752.01235739768,1610.95351318473,1173.09073311619,874.286099167204,944.778919570132,1075.71769918097,937.76139997519,1158.3318842967,1606.60065366758,691.10109586596,839.779007757916,1622.9024740204,742.259362251138,638.463940099784,1095.66999693273,1163.95743019586,816.272649948368,1101.34481869513,1140.87189585334,882.36795990194
85,1,634.024850651527,1357.33399181557,1724.8916302343,888.417252708592,979.050305983453,856.336793374802,879.318580906041,877.104884631735,1246.21932185576,985.123208177635,846.899081409075,1900.66415702844,748.777382771093,850.128317600411,965.587519213101,1104.62653964943,884.812097608594,1646.67690238497,867.464993959445,890.391010971806
86,1,852.35866691457,1118.15713970981,1319.65040802138,909.070074959247,650.751911304429,835.684413966567,838.995592430311,972.428732374786,1404.12722721106,1128.70586712211,788.656249877519,1641.14415533592,617.362294957927,766.092271387541,1011.75325724602,1353.15758272317,1229.01360126668,1182.08999078751,806.928426862727,849.286171362659
87,1,1236.47559335438,1442.14532396932,1223.30631955789,1061.89129170248,941.509884586151,1020.7186828759,813.221942980731,846.968803283111,752.088856926084,988.605582101247,678.593792470923,972.434855031493,865.161696402993,697.404153266097,849.388489190991,1050.11038167462,1247.83888885714,1073.44872686132,845.761413828553,944.78420579154
88,1,1072.93430178834,1167.23614579345,852.074350275501,1433.16352938969,1028.20598145466,1218.45294064221,965.379567696788,884.666171793511,764.273975337789,875.168693424748,877.595135257689,539.380169275808,999.622594509373,957.888425728304,760.548321281953,1010.77339217149,1352.67949799999,982.444537556699,758.962797838299,770.968828645409
89,1,1115.39995539695,1182.40643604889,1121.55185308254,1511.14212503667,1305.01039457758,720.053797131329,812.142591032126,861.873625929261,873.143439646313,698.111101933995,906.160080523361,656.886127524459,811.610837832331,772.67659414103,774.024752902253,914.629120934934,1033.99960428059,908.112346421896,722.19742376511,782.76002081638
90,1,1197.74968669247,1596.69873458474,963.755116282536,1800.07984678452,992.58110698155,1042.96352624544,616.620270746037,732.497394827662,1473.05148108382,633.234615544501,662.813533786897,709.292523625201,1097.18931263528,1042.87654049897,849.795605434015,1151.84004305027,961.392869309721,750.855875433,593.650777925183,1097.78572315637
91,1,849.37076046738,1689.35592042599,1082.67079886568,1326.00747997422,758.362498491755,998.641914685846,784.392527082709,864.285089003452,993.531848629494,805.993091349555,754.72836817748,724.636424771807,1366.3937004332,892.628292384818,1538.76945244435,961.363676308349,787.472034177059,1101.20615436555,1093.52802247696,969.718108804234
92,1,976.506637992269,1568.07207692172,1111.90116188749,1275.99245316765,963.560650872204,1151.07057161513,837.254263981614,788.811669367956,958.711548547955,787.159734287809,968.912342075824,898.528017960902,1454.06474248134,1169.0345015079,1237.8709365818,935.346441530813,923.151567179055,1129.89389875997,907.035906956895,1079.47930627858
93,1,833.576344131104,1669.26351061042,1219.14503979882,1271.42100605664,1620.73816546658,794.156564091262,727.628646618055,769.722841492962,570.407152805358,800.498928227062,973.018436313637,935.304764971821,1097.74639332789,1087.68203646984,1331.59577594449,1126.2918759066,1114.00747871715,833.940034958224,1100.77692433157,1005.35370754877
94,1,1073.16752985169,1429.53444716891,1210.49538662244,1103.77045850233,977.55142591878,1133.45364400567,1057.29518237745,970.126980023213,543.148013406257,984.91122699777,1099.15785185613,657.571918531771,709.021387356051,933.767495254458,1536.57725706422,1015.52221555126,1430.89964866469,1082.42983330026,1471.04893592863,783.828857188534
95,1,1263.10390850713,745.784915717774,1158.46459540893,952.777105193544,991.555178677345,1029.38308357353,1413.10912087167,1049.53697355229,515.068817728673,1090.48817032717,935.350457965611,524.155891625867,647.916794751065,802.74251054345,1248.45407798435,938.745034996345,917.144904408296,1482.91097467867,980.205612346492,881.719352707433
96,1,981.916629941942,836.774555489052,953.437443465935,1193.76095996346,895.607005907453,896.048715335281,1099.25322113594,1103.18801183552,984.691224868118,931.368312744322,1203.29019133911,568.442385377453,687.800222749648,724.404937584191,1123.43864265471,962.817854955413,795.846144141429,1594.78747772083,991.768172342942,989.304300781922
97,1,1098.01836050769,553.02739525511,753.959090048409,972.393076048895,1294.36437295571,761.292258748919,1159.45619449533,1173.85842358169,1133.48316979635,1016.0767364121,1340.95307047212,621.05593801624,727.923437426116,496.318688714551,1467.4585031121,882.958996567127,615.766565219968,1735.57389150382,579.686473377536,921.232857071965
98,1,909.219925137865,644.121780567408,591.497698788985,815.522461015575,938.334229370025,1275.94535839134,1002.01777103934,1223.92344905717,803.931785570941,1332.06529110248,1446.42718582071,583.443583780917,1097.9756187246,653.011052398583,969.007656736054,739.958556109987,899.141570212499,1281.97140951523,818.129221493837,951.136140925514
99,1,1001.10105387691,861.33328524068,793.728405994928,1065.63025927488,1230.73452400025,1113.33006004222,750.647824759775,1008.63171180095,947.230840187434,866.008203945102,1371.05339863051,712.836296050763,1266.03185461261,1107.74739327185,1057.98842487608,775.303612303173,1009.58155533413,1313.77650956925,842.534255554949,820.924280728346
100,1,1120.86423158029,819.97256461269,913.80266252944,1157.47578260728,927.008604710129,780.857107492992,738.441813690741,1195.76042534463,907.847476967741,866.080125904051,1246.96988791993,748.851170628298,961.823391477549,1308.67240848773,919.470432658106,973.787000330052,1166.65152921947,880.679538270471,894.424612436129,665.496320178603
